Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:45:24, 19.80, 62.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:45:30, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:45:36, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:45:43, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:45:49, 19.80, 62.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:45:55, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:46:02, 19.80, 62.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:46:08, 19.80, 62.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:46:14, 19.80, 62.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:46:21, 19.80, 62.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:46:27, 19.80, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:46:33, 19.80, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:46:40, 19.80, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:46:46, 19.80, 61.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:46:52, 19.80, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:47:05, 19.80, 61.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:47:11, 19.80, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:47:18, 19.80, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:47:24, 19.80, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:47:30, 20.10, 61.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:47:37, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:47:43, 20.20, 61.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:47:49, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:47:56, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:48:02, 20.20, 61.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:48:09, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:48:21, 20.20, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:48:28, 20.20, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:48:34, 20.20, 61.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:48:40, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:48:47, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:48:53, 20.20, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:48:59, 20.20, 61.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:49:06, 20.20, 61.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:49:12, 20.20, 60.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:49:18, 20.20, 60.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:49:25, 20.20, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:49:31, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:49:37, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:49:44, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:49:50, 20.20, 60.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:49:56, 20.20, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:50:03, 20.20, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:50:09, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:50:15, 20.20, 60.00, 80, 19.99, 0.00, 0.00
